,Rank,Movie_Name,IMDB_Rating,Year_of_Release, Movie Name,Year,IMDB Rating,Story,Director,Gross
205,206.Jaws(1975),Jaws,8.1,1975.0,,,,,,
206,207.The Passion of Joan of Arc(1928),The Passion of Joan of Arc,8.1,1928.0,,,,,,
207,208.Tokyo Story(1953),Tokyo Story,8.1,1953.0,,,,,,
208,209.Dead Poets Society(1989),Dead Poets Society,8.1,1989.0,,,,,,
209,210.Hotel Rwanda(2004),Hotel Rwanda,8.1,2004.0,,,,,,
210,211.Rocky(1976),Rocky,8.0,1976.0,,,,,,
211,212.Platoon(1986),Platoon,8.0,1986.0,,,,,,
212,213.Ford v Ferrari(2019),Ford v Ferrari,8.0,2019.0,,,,,,
213,214.Pather Panchali(1955),Pather Panchali,8.0,1955.0,,,,,,
214,215.Stand by Me(1986),Stand by Me,8.0,1986.0,,,,,,
215,216.The Terminator(1984),The Terminator,8.0,1984.0,,,,,,
216,217.Spotlight(2015),Spotlight,8.0,2015.0,,,,,,
217,218.Rush(2013),Rush,8.0,2013.0,,,,,,
218,219.Network(1976),Network,8.0,1976.0,,,,,,
219,220.Logan(2017),Logan,8.0,2017.0,,,,,,
220,221.Into the Wild(2007),Into the Wild,8.0,2007.0,,,,,,
221,222.The Wizard of Oz(1939),The Wizard of Oz,8.0,1939.0,,,,,,
222,223.Ratatouille(2007),Ratatouille,8.0,2007.0,,,,,,
223,224.Groundhog Day(1993),Groundhog Day,8.0,1993.0,,,,,,
224,225.Before Sunset(2004),Before Sunset,8.0,2004.0,,,,,,
225,226.The Exorcist(1973),The Exorcist,8.0,1973.0,,,,,,
226,227.The Best Years of Our Lives(1946),The Best Years of Our Lives,8.0,1946.0,,,,,,
227,228.The Incredibles(2004),The Incredibles,8.0,2004.0,,,,,,
228,229.To Be or Not to Be(1942),To Be or Not to Be,8.0,1942.0,,,,,,
229,230.The Battle of Algiers(1966),The Battle of Algiers,8.0,1966.0,,,,,,
230,231.Rebecca(1940),Rebecca,8.0,1940.0,,,,,,
231,232.The Grapes of Wrath(1940),The Grapes of Wrath,8.0,1940.0,,,,,,
232,233.Hachi: A Dog's Tale(2009),Hachi: A Dog's Tale,8.0,2009.0,,,,,,
233,234.Cool Hand Luke(1967),Cool Hand Luke,8.0,1967.0,,,,,,
234,235.Amores perros(2000),Amores perros,8.0,2000.0,,,,,,
235,236.Pirates of the Caribbean: The Curse of the Black Pearl(2003),Pirates of the Caribbean: The Curse of the Black Pearl,8.0,2003.0,,,,,,
236,237.La Haine(1995),La Haine,8.0,1995.0,,,,,,
237,238.The 400 Blows(1959),The 400 Blows,8.0,1959.0,,,,,,
238,239.My Father and My Son(2005),My Father and My Son,8.0,2005.0,,,,,,
239,240.Persona(1966),Persona,8.0,1966.0,,,,,,
240,241.It Happened One Night(1934),It Happened One Night,8.0,1934.0,,,,,,
241,242.Life of Brian(1979),Life of Brian,8.0,1979.0,,,,,,
